"","train_49","train_50","train_51","train_52","train_53","train_54","train_55","train_56","train_57","train_58","train_59","train_60","train_61","train_62","train_63","train_64","train_65","train_66","train_67","train_68"
"Bacteroides_vulgatus",0,0,0,0,0,0,0,0,0,0,0,0,0.15153,0,0,0,0,0,0,0
"Roseburia_faecis",0,0,0,0,0,1.17609,0,0,0,0,0,0.02077,0,0,0,0,0,0,0,0
"Ruminococcus_gnavus",0,0,0,0,0,0,0,0,0,0,4.17723,0,0,0,0,0,0,0,0,0
"Roseburia_intestinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia_wexlerae",0,0,0,0,0,0.52368,0,0,0,0,0,0,0,0,0,0.01112,0,0,0,0
"Eubacterium_eligens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_thetaiotaomicron",0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0,0,0,0,0
"Faecalibacterium_prausnitzii",0,0.15246,0,0,3.03012,1.53493,0,0,0,0,3.67941,0,0,0,0,3.70301,0,0,0,0
"Coprococcus_comes",0,0,0,0,0,0.00525,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_bacterium_D16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_thermophilus",0,0,0,0,0,0,0,0,0,0.0118,0,0,0,0,0,0,0,0,0,0
"Dialister_invisus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia_sp_CAG_257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor_plautii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactococcus_lactis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia_coli",91.44576,82.94113,84.61763,77.09876,44.52276,1.43948,0,74.15942,0,58.47188,52.28969,21.23071,1.31157,47.5229,9.43646,2.22362,75.3204,10.78293,42.315,60.97246
"Firmicutes_bacterium_CAG_94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turicibacter_sanguinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelatoclostridium_ramosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusicatenibacter_saccharivorans",0,0,0,0,0.01343,0,0,0,0,0,0,0,0,0,0,4.04165,0,0,0,0
"Clostridium_disporicum",1.42517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.46634
"Actinomyces_sp_ICM47",0.02465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinibacter_bartlettii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_spiroforme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_saccharolyticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea_formicigenerans",0,0,0,0,0,3.28545,0,0,0,0,0,0,0,0,0,1.07712,0,0,0,0
"Streptococcus_salivarius",0.07592,0,0.24738,0,0,0,0,1.59737,0,2.93674,0,0,0,0,1.4419,0.69522,0.43622,64.00183,0,0
"Clostridium_clostridioforme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_celatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_pasteurianus",0,0,4.69361,8.3298,0,0,0,0,0,0,1.18291,0,0,0,0,0,9.55451,0.02953,1.90056,0
"Eggerthella_lenta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea_sp_CAG_317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propionibacterium_freudenreichii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_innocuum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_oralis",0.91561,0,0.00841,0.794,0,0,0,0.235,0,0,0,0,0,0,0,0,0.03251,1.48264,0,0.652
"Klebsiella_pneumoniae",0,0,3.74219,0,0,0,0,0,0,0.31225,0,0.10373,0,0,17.98316,0,3.76207,0.07241,28.45035,0
"Actinomyces_sp_HPA0247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_An118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mitis",0.11466,0,0.02492,1.31042,0,0,0,0.56135,0,0.1064,0,0,0,0,0,0,0.01255,0,0,2.21015
"Ruthenibacterium_lactatiformans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium_parvulum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_copri",0,0.08901,0,0,6.86163,13.00126,0,0,0,0,7.79962,0.00915,0,0,26.38341,11.46912,0.08794,8e-04,0,0
"Actinomyces_sp_S6_Spd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_aerofaciens",0,0,0,0,1.06918,1.04789,0,0,0,0,0,0,0,0,0,0.59459,0,0,0,0
"Romboutsia_ilealis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiales_bacterium_CHKCI006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_520",0,0,0,0,0.73373,0.41624,0,0,0,0,0,0,0,0,2.94729,0.63728,0,0,0,0
"Eubacterium_siraeum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_uniformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_279",0,0.00264,0,0,0,0.09847,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_bromii",0,0,0,0,0,0.13155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phascolarctobacterium_succinatutens",0,0,0,0,0.45978,0.29903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_inulinivorans",0,0.04462,0,0,0,0.01811,0,0,0,0,0,0,0,0,0,30.81692,0,0,0,0
"Ruminococcus_torques",0,0.15739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_stercoris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_sp_CAG_251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_inops",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillibacter_sp_57_20",0,0,0,0,0,2.38709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_dorei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospira_pectinoschiza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_stercorea",0,0.71033,0,0,0.16246,2.31404,0,0,0.0197,0,0,0,0,0,0,34.9746,0,0,0,0
"Bacteroides_caccae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides_distasonis",0,0.17379,0,0,0,0,0,0,0,0,0.00524,0.12618,0,0,0,0,0,0,0,0
"Haemophilus_parainfluenzae",0.061,0.07346,0,0,0,0.17188,0,0,0,1.17663,0.48975,0,0,0,0,0,0,0.72638,0,0
"Odoribacter_splanchnicus",0,0.13117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprococcus_eutactus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraprevotella_xylaniphila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slackia_isoflavoniconvertens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_ovatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_hominis",0,0,0,0,0,3.53577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea_longicatena",0,0,0,0,1.32887,0.16067,0,0,0,0,0.53149,0,0,0,0,1.22788,0,0,0,0
"Eubacterium_sp_CAG_38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides_merdae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_lactaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemmiger_formicilis",0,0,0,0,0,0.08784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_dentium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia_obeum",0,0,0,0,0,0.04952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrio_piger",0,0,0,0,0,0.28567,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_rectale",0,0,0,0,0,1.58972,0,0,0,0,0,0.01504,0,0,0,0,0,0,0,0
"Agathobaculum_butyriciproducens",0,0,0,0,0.89741,0.54062,0,0,0,0,0,0,0,0,0,0.14792,0,0,0,0
"Bacteroides_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides_johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_dispar",1.15269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66794,0,0
"Veillonella_infantium",0.04003,0,0,0,0,0.07662,0,0,0,0,0,0,0,0,0,0,0,4.99777,0,0
"Veillonella_atypica",0.07977,0,0,0,0,0.01534,0,0,0,0,0,0,0,0,0,0,0,7.51064,0,0.5781
"Bacteroides_finegoldii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_animalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillibacter_sp_CAG_241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_intestinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerostipes_hadrus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15246,0,0,0,0
"Clostridium_perfringens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66102
"Catenibacterium_mitsuokai",0,0,0,0,0.05897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_parasanguinis",0.011,0,0.00715,0.64111,0,0,0,0,0,0.17107,0,0,0,0,0,0.08472,0,2.12901,0,0
"Butyricimonas_virosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_ventriosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_finegoldii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprococcus_catus",0,0,0,0,0,1.09488,0,0,0,0,1.46634,0,0,0,0,0.27005,0,0,0,0
"Eubacterium_hallii",0,0,0,0,0,0.06237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_putredinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_fragilis",0.00196,0.0287,0,0,0,0,0,0,0.00102,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_cellulosilyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_sp_T11011_6",0.12896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23738,0,0
"Eubacterium_ramulus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holdemanella_biformis",0,0,0,0,2.13642,0.08045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lawsonibacter_asaccharolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akkermansia_muciniphila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_sp_CAG_180",0,0,0,0,0,0.07898,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_xylanisolvens",0,0.00965,0,0,0,0,0,0,0,0,2.35997,0,0,0,0,0,0,0,0,0
"Ruminococcus_bicirculans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monoglobus_pectinilyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprobacillus_cateniformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_shahii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_bifidum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Gastranaerophilales_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asaccharobacter_celatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eisenbergiella_tayi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adlercreutzia_equolifaciens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_onderdonkii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_bacterium_D5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hungatella_hathewayi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bilophila_wadsworthia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holdemania_filiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinimonas_butyriciproducens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordonibacter_pamelaeae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parvimonas_micra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_stercoris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_sp_CAG_274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaeromassilibacillus_sp_An250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor_sp_An100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_obeum_CAG_39",0,0,0,0,0,0.01827,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerotruncus_colihominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_sp_CAG_471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella_morbillorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_intestinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_milleri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harryflintia_acetispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium_rimae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_symbiosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterorhabdus_caecimuris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_adolescentis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_salivarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methanobrevibacter_smithii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprobacter_fastidiosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_scardovii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_anginosus_group",0,0,0,0,0.65142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_longum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_paragasseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_gasseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parascardovia_denticolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_gastricus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mutans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_crispatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_mucosae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_delbrueckii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_faecium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01286,0
"Lactobacillus_oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_fermentum",0,0,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sanguibacteroides_justesenii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_salyersiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnesiella_intestinihominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_eggerthii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_sp_CAG_309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parasutterella_excrementihominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_sp_CAG_182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_indistinctus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricimonas_synergistica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_vestibularis",0,0,0.25182,0,0,0,0,0,0,0.04626,0,0,0,0,0,0,0.68963,0,0,0
"Coprobacter_secundus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella_sanguinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_leptum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillibacter_sp_PC13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
